TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;01.622.154/0001-88;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA HOUSTON;2023-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7785533.94;;;SDL;DI1 X IAP
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;147412.43;;2023-12-29;SDP;DI1 X PRE
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;241513819.85;;2023-12-29;Outros;999 X 999
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;6067.48;;2023-12-29;SDP;DI1 X PRE
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;193716006.63;;2023-12-29;Outros;999 X 999
FI;02.727.085/0001-30;MÁXIMA  FMP - FGTS  PETROBRAS;2023-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;02.885.730/0001-42;KONA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;30199984.38;;;SDP;DI1 X PRE
FI;02.885.730/0001-42;KONA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;15880840.54;;;SDP;DI1 X PRE
FI;03.737.188/0001-43;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2023-09-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;834116.72;;;Outros;999 X 999
FI;03.737.188/0001-43;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2023-09-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1867287.09;;;Outros;999 X 999
