TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-03-31;441881;1355404101.48;AÇÕES;Ação ordinária;N;Para negociação;28400.00;479668.00;8600.00;130254.00;272248.00;4203509.12;;;;CSNA3 - CIA SIDERURGICA NACIONAL SA - CSNA3;;PJ;33042730000104;CIA SIDERURGICA NACIONAL SA;;;;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-03-31;441881;1355404101.48;AÇÕES;Ação ordinária;N;Para negociação;135800.00;445878.00;37400.00;122429.00;1367036.00;4524889.16;;;;MGLU3 - MAGAZINE LUIZA S.A. - MGLU3;;PJ;47960950000121;MAGAZINE LUIZA S.A.;;;;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-03-31;441881;1355404101.48;AÇÕES;Ação ordinária;N;Para negociação;52600.00;1335468.00;15500.00;399726.00;468777.00;12638227.92;;;;EQTL3 - EQUATORIAL - EQTL3;;PJ;3220438000173;EQUATORIAL;;;;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-03-31;441881;1355404101.48;AÇÕES;Ação ordinária;N;Para negociação;50400.00;325261.00;13700.00;86755.00;789311.00;4901621.31;;;;BRFS3 - BRF - BRASIL FOODS SA - BRFS3;;PJ;1838723000127;BRF - BRASIL FOODS SA;;;;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-03-31;441881;1355404101.48;AÇÕES;Ação ordinária;N;Para negociação;19800.00;90882.00;5300.00;26424.00;182125.00;872378.75;;;;LWSA3 - LOCAWEB SERVICOS DE INTERNET S.A. - LWSA3;;PJ;2351877000152;LOCAWEB SERVICOS DE INTERNET S.A.;;;;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-03-31;441881;1355404101.48;AÇÕES;Ação ordinária;N;Para negociação;36800.00;1957729.00;11700.00;621857.00;342068.00;18266431.20;;;;RENT3 - LOCALIZA - RENT3;;PJ;16670085000155;LOCALIZA;;;;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-03-31;441881;1355404101.48;AÇÕES;Ação ordinária;N;Para negociação;94800.00;3160965.00;25800.00;826490.00;1143057.00;38040936.96;;;;ELET3 - ELETROBRAS SA - ELET3;;PJ;1180000126;ELETROBRAS SA;;;;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-03-31;441881;1355404101.48;AÇÕES;Ação ordinária;N;Para negociação;35000.00;1597386.00;10500.00;462746.00;309533.00;12876572.80;;;;SUZB3 - SUZANO PAPEL E CELULOSE SA - SUZB3;;PJ;16404287000155;SUZANO PAPEL E CELULOSE SA;;;;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-03-31;441881;1355404101.48;AÇÕES;Ação ordinária;N;Para negociação;70100.00;2803257.00;19800.00;802536.00;645993.00;26195016.15;;;;WEGE3 - WEG - WEGE3;;PJ;84429695000111;WEG;;;;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-03-31;441881;1355404101.48;AÇÕES;Ação ordinária;N;Para negociação;213000.00;18404205.00;58700.00;4780426.00;2747652.00;220608979.08;;;;VALE3 - VALE SA - VALE3;;PJ;33592510000154;VALE SA;;;;;;;
